Variables,Type,Variables_name_ENG,Variables_name_KOR
DM_Name_CD_Models_out_list,1,CD_Models_list,CD_Models_list
DM_Name_CD_Models_out_selected,0,KMA,KMA
DM_Name_CD_Scenarios_out,0,Climate Scenarios,기후시나리오
DM_Name_CD_Scenarios_out_list,1,CD_Scenarios_list,CD_Scenarios_list
DM_Name_CD_Scenarios_out_selected,0,RCP4.5,RCP4.5
DM_Name_CD_Year_out,0,Projecting Years,예측년도
DM_Name_CD_Year_out_list,1,CD_Year_list,CD_Year_list
DM_Name_CD_Year_out_selected,0,2000,2000
DM_Name_Display_types,0,Model types,출력결과 모델
DM_Name_Display_types_list,0,"c(""Species Distribution Model"" = ""SDM"", ""Dispersal Model"" = ""DM"")","c(""종분포모형"" = ""SDM"", ""종확산모형"" = ""DM"")"
DM_Name_Display_types_selected,0,SDM,SDM
DM_Name_Dir,0,DM Output Folder,DM 평가결과 폴더
SA_Name,0,Species Assessment,생물종 평가
SA_Name_Analysis,0,Impact and Vulnerability Asessment,영향 및 취약성평가
SA_Name_Out,0,Assessment Result,평가결과
SA_Name_Out_ChangePlot,0,Distribution Change,분포변화
SA_Name_Out_IV_Table,0,Vulnerability Table,취약성 지수
SA_Name_Out_IV_GainLoss,0,Loss_Gain Area Ratio,면적변화비
SA_Name_Out_IV_Pattern,0,Vulnerability Pattern,취약성 패턴
SA_Name_Out_IV_Order,0,Vulnerability Order,취약성 순위
SA_Name_DM_Models,0,DIspersal Types,확산모형
SA_Name_DM_Models_list,1,DM_Models_list,DM_Models_list
SA_Name_DM_Models_selected,0,BIOMOD2,BIOMOD2
SA_Name_CD_Models,0,Climate Models,기후모델
SA_Name_CD_Models_list,1,CD_Models_list,CD_Models_list
SA_Name_CD_Models_selected,0,KMA,KMA
SA_Name_CD_Scenarios,0,Climate Scenarios,기후시나리오
SA_Name_CD_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
SA_Name_CD_Scenarios_selected,0,RCP4.5,RCP4.5
